# HSK COORS  :  [0.0, 0.23401070363498697, 0.36911684621020824, 0.6393291316493259]
# HSK SYMBOL :  ['Γ', 'M', 'K', 'Γ']
# PROJ ATOMS :  [1]


# K-coors        Spin-up(eV)       dxy         dz2       Spin-up(eV)     dxy       dz2    
  0.17018962    -16.43928200    0.000000    0.000000    -16.43928200    0.000000    0.000000  
  0.17255336    -16.35610200    0.000000    0.000000    -16.35610200    0.000000    0.000000  
  0.17491710    -16.27198000    0.000000    0.000000    -16.27198000    0.000000    0.000000  
  0.17728085    -16.18693900    0.000000    0.000000    -16.18693900    0.000000    0.000000  
  0.17964459    -16.10101000    0.000000    0.000000    -16.10101000    0.000000    0.000000  
  0.18200833    -16.01420200    0.000000    0.000000    -16.01420200    0.000000    0.000000  
  0.18437207    -15.92659700    0.000000    0.000000    -15.92659700    0.000000    0.000000  
  0.18673581    -15.83816200    0.000000    0.000000    -15.83816200    0.000000    0.000000  
  0.18909956    -15.74895200    0.000000    0.000000    -15.74895200    0.000000    0.000000  
  0.19146330    -15.65903500    0.000000    0.000000    -15.65903500    0.000000    0.000000  
  0.19382704    -15.56846800    0.000000    0.000000    -15.56846800    0.000000    0.000000  
  0.19619078    -15.47732600    0.000000    0.000000    -15.47732500    0.000000    0.000000  
  0.19855453    -15.38570400    0.000000    0.000000    -15.38570400    0.000000    0.000000  
  0.20091827    -15.29369600    0.000000    0.000000    -15.29369600    0.000000    0.000000  
  0.20328201    -15.20144800    0.000000    0.000000    -15.20144800    0.000000    0.000000  
  0.20564575    -15.10913700    0.000000    0.000000    -15.10913700    0.000000    0.000000  
  0.20800949    -15.01698900    0.000000    0.000000    -15.01698900    0.000000    0.000000  
  0.21037324    -14.92530200    0.000000    0.000000    -14.92530200    0.000000    0.000000  
  0.21273702    -14.83447300    0.000000    0.000000    -14.83447300    0.000000    0.000000  
  0.21510077    -14.74505000    0.000000    0.000000    -14.74505000    0.000000    0.000000  
  0.21746451    -14.65776600    0.000000    0.000000    -14.65776600    0.000000    0.000000  
  0.21982825    -14.57367100    0.000000    0.000000    -14.57367100    0.000000    0.000000  
  0.22219199    -14.49424100    0.000000    0.000000    -14.49424100    0.000000    0.000000  
  0.22455574    -14.42155700    0.000000    0.000000    -14.42155700    0.000000    0.000000  
  0.22691948    -14.35848400    0.000000    0.000000    -14.35848300    0.000000    0.000000  
  0.22928322    -14.30872100    0.000000    0.000000    -14.30872100    0.000000    0.000000  
  0.23164696    -14.27643600    0.000000    0.000000    -14.27643600    0.000000    0.000000  
  0.23401070    -14.26519500    0.000000    0.000000    -14.26519500    0.000000    0.000000  
  0.23401070    -14.26519500    0.000000    0.000000    -14.26519500    0.000000    0.000000  
  0.23537541    -14.26502300    0.000000    0.000000    -14.26502300    0.000000    0.000000  
  0.23674012    -14.26450600    0.000000    0.000000    -14.26450500    0.000000    0.000000  
  0.23810483    -14.26364400    0.000000    0.000000    -14.26364400    0.000000    0.000000  
  0.23946954    -14.26243700    0.000000    0.000000    -14.26243700    0.000000    0.000000  
  0.24083425    -14.26088500    0.000000    0.000000    -14.26088500    0.000000    0.000000  
  0.24219895    -14.25898900    0.000000    0.000000    -14.25898900    0.000000    0.000000  
  0.24356366    -14.25675400    0.000000    0.000000    -14.25675400    0.000000    0.000000  
  0.24492837    -14.25416900    0.000000    0.000000    -14.25416900    0.000000    0.000000  
  0.24629308    -14.25123900    0.000000    0.000000    -14.25123900    0.000000    0.000000  
  0.24765779    -14.24796000    0.000000    0.000000    -14.24796000    0.000000    0.000000  
  0.24902250    -14.24434000    0.000000    0.000000    -14.24434000    0.000000    0.000000  
  0.25038721    -14.24037200    0.000000    0.000000    -14.24037200    0.000000    0.000000  
  0.25175191    -14.23606300    0.000000    0.000000    -14.23606300    0.000000    0.000000  
  0.25311662    -14.23140900    0.000000    0.000000    -14.23140900    0.000000    0.000000  
  0.25448133    -14.22641300    0.000000    0.000000    -14.22641300    0.000000    0.000000  
  0.25584604    -14.22107000    0.000000    0.000000    -14.22107000    0.000000    0.000000  
  0.25721075    -14.21538600    0.000000    0.000000    -14.21538600    0.000000    0.000000  
  0.25857546    -14.20935400    0.000000    0.000000    -14.20935400    0.000000    0.000000  
  0.25994016    -14.20297800    0.000000    0.000000    -14.20297800    0.000000    0.000000  
  0.26130487    -14.19625700    0.000000    0.000000    -14.19625700    0.000000    0.000000  
  0.26266958    -14.18919100    0.000000    0.000000    -14.18919100    0.000000    0.000000  
  0.26403429    -14.18178100    0.000000    0.000000    -14.18178100    0.000000    0.000000  
  0.26539900    -14.17402700    0.000000    0.000000    -14.17402700    0.000000    0.000000  
  0.26676371    -14.16592900    0.000000    0.000000    -14.16592900    0.000000    0.000000  
  0.26812841    -14.15748600    0.000000    0.000000    -14.15748600    0.000000    0.000000  
  0.26949313    -14.14869900    0.000000    0.000000    -14.14869900    0.000000    0.000000  
  0.27085783    -14.13956500    0.000000    0.000000    -14.13956500    0.000000    0.000000  
  0.27222254    -14.13009000    0.000000    0.000000    -14.13009000    0.000000    0.000000  
  0.27358725    -14.12027000    0.000000    0.000000    -14.12027000    0.000000    0.000000  
  0.27495196    -14.11010700    0.000000    0.000000    -14.11010700    0.000000    0.000000  
  0.27631667    -14.09959900    0.000000    0.000000    -14.09959900    0.000000    0.000000  
  0.27768137    -14.08874800    0.000000    0.000000    -14.08874800    0.000000    0.000000  
  0.27904608    -14.07754700    0.000000    0.000000    -14.07754700    0.000000    0.000000  
  0.28041079    -14.06600800    0.000000    0.000000    -14.06600700    0.000000    0.000000  
  0.28177549    -14.05412800    0.000000    0.000000    -14.05412800    0.000000    0.000000  
  0.28314020    -14.04190000    0.000000    0.000000    -14.04190000    0.000000    0.000000  
  0.28450491    -14.02933500    0.000000    0.000000    -14.02933500    0.000000    0.000000  
  0.28586962    -14.01642100    0.000000    0.000000    -14.01642100    0.000000    0.000000  
  0.28723432    -14.00317000    0.000000    0.000000    -14.00317000    0.000000    0.000000  
  0.28859903    -13.98956900    0.000000    0.000000    -13.98956900    0.000000    0.000000  
  0.28996374    -13.97564400    0.000000    0.000000    -13.97564400    0.000000    0.000000  
  0.29132844    -13.96135100    0.000000    0.000000    -13.96135100    0.000000    0.000000  
  0.29269315    -13.94672100    0.000000    0.000000    -13.94672000    0.000000    0.000000  
  0.29405786    -13.93175900    0.000000    0.000000    -13.93175900    0.000000    0.000000  
  0.29542261    -13.91644000    0.000000    0.000000    -13.91643900    0.000000    0.000000  
  0.29678731    -13.90078000    0.000000    0.000000    -13.90078000    0.000000    0.000000  
  0.29815202    -13.88477800    0.000000    0.000000    -13.88477800    0.000000    0.000000  
  0.29951673    -13.86843300    0.000000    0.000000    -13.86843300    0.000000    0.000000  
  0.30088143    -13.85174600    0.000000    0.000000    -13.85174500    0.000000    0.000000  
  0.30224614    -13.83471600    0.000000    0.000000    -13.83471500    0.000000    0.000000  
  0.30361085    -13.81733700    0.000000    0.000000    -13.81733700    0.000000    0.000000  
  0.30497556    -13.79962200    0.000000    0.000000    -13.79962200    0.000000    0.000000  
  0.30634026    -13.78155000    0.000000    0.000000    -13.78155000    0.000000    0.000000  
  0.30770497    -13.76315100    0.000000    0.000000    -13.76315100    0.000000    0.000000  
  0.30906968    -13.74441000    0.000000    0.000000    -13.74441000    0.000000    0.000000  
  0.31043438    -13.72532800    0.000000    0.000000    -13.72532800    0.000000    0.000000  
  0.31179909    -13.70590400    0.000000    0.000000    -13.70590400    0.000000    0.000000  
  0.31316380    -13.68615000    0.000000    0.000000    -13.68614900    0.000000    0.000000  
  0.31452851    -13.66604200    0.000000    0.000000    -13.66604200    0.000000    0.000000  
  0.31589321    -13.64559400    0.000000    0.000000    -13.64559400    0.000000    0.000000  
  0.31725792    -13.62480500    0.000000    0.000000    -13.62480400    0.000000    0.000000  
  0.31862263    -13.60367400    0.000000    0.000000    -13.60367400    0.000000    0.000000  
  0.31998733    -13.58220300    0.000000    0.000000    -13.58220300    0.000000    0.000000  
  0.32135204    -13.56039100    0.000000    0.000000    -13.56039100    0.000000    0.000000  
  0.32271675    -13.53823800    0.000000    0.000000    -13.53823800    0.000000    0.000000  
  0.32408146    -13.51575400    0.000000    0.000000    -13.51575400    0.000000    0.000000  
  0.32544616    -13.49291500    0.000000    0.000000    -13.49291500    0.000000    0.000000  
  0.32681087    -13.46976000    0.000000    0.000000    -13.46976000    0.000000    0.000000  
  0.32817558    -13.44624700    0.000000    0.000000    -13.44624700    0.000000    0.000000  
  0.32954028    -13.42239400    0.000000    0.000000    -13.42239400    0.000000    0.000000  
  0.33090499    -13.39820600    0.000000    0.000000    -13.39820600    0.000000    0.000000  
  0.33226970    -13.37367500    0.000000    0.000000    -13.37367500    0.000000    0.000000  
  0.33363441    -13.34880400    0.000000    0.000000    -13.34880400    0.000000    0.000000  
  0.33499911    -13.32358300    0.000000    0.000000    -13.32358300    0.000000    0.000000  
  0.33636386    -13.29803900    0.000000    0.000000    -13.29803800    0.000000    0.000000  
  0.33772857    -13.27217400    0.000000    0.000000    -13.27217400    0.000000    0.000000  
  0.33909328    -13.24594900    0.000000    0.000000    -13.24594900    0.000000    0.000000  
  0.34045798    -13.21938600    0.000000    0.000000    -13.21938600    0.000000    0.000000  
  0.34182269    -13.19248500    0.000000    0.000000    -13.19248500    0.000000    0.000000  
  0.34318740    -13.16524700    0.000000    0.000000    -13.16524700    0.000000    0.000000  
